Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"C Lum","The influence of places on police decision pathways: From call for service to arrest",2011,"Justice Quarterly","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/07418825.2010.526130","https://scholar.google.com/scholar?cites=3061904762856855107&as_sdt=2005&sciodt=0,5&hl=en",143,"2021-09-29 11:06:12","","10.1080/07418825.2010.526130","","",,,,,45,4.50,45,1,10,"… Whatever the reason, research seems to indicate that more policing (whether in formality, frequency, or force) seems to occur in … Four large data sources were collected and connected: the police calls for service database in which a dispatcher records the initial request for …","https://www.tandfonline.com/doi/pdf/10.1080/07418825.2010.526130","https://scholar.google.com/scholar?q=related:Q9YovigSfioJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
624,"AA Braga, BJ Bond","Policing crime and disorder hot spots: A randomized controlled trial",2008,"Criminology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-9125.2008.00124.x","https://scholar.google.com/scholar?cites=10174222440214446182&as_sdt=2005&sciodt=0,5&hl=en",144,"2021-09-29 11:06:12","","10.1111/j.1745-9125.2008.00124.x","","",,,,,624,48.00,312,2,13,"… A quasi-experimental evaluation of a quality-of-life policing initiative that focused on social and … A less rigorous evaluation of a 1- month police enforcement effort to reduce alcohol … 3. The 2004 crime and disorder calls for service were geocoded using Mapinfo Pro- fessional 8.0 …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-9125.2008.00124.x","https://scholar.google.com/scholar?q=related:ZkDKbmcZMo0J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
25,"E Barthe, BG Stitt","Impact of casinos on criminogenic patterns",2009,"Police Practice and Research: An International …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15614260802381067","https://scholar.google.com/scholar?cites=8812942398977971361&as_sdt=2005&sciodt=0,5&hl=en",145,"2021-09-29 11:06:12","","10.1080/15614260802381067","","",,,,,25,2.08,13,2,12,"… raises some important questions concerning the impact of these establishments on law enforcement agencies … Should departments adopt particular policing strategies to address crimes caused by casinos … light on the nature of casino hotspots and their impact on police resources …","https://www.tandfonline.com/doi/pdf/10.1080/15614260802381067","https://scholar.google.com/scholar?q=related:oZQPPWvcTXoJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
32,"E Barthe, BG Stitt","Temporal distributions of crime and disorder in casino and non-casino zones",2009,"Journal of Gambling Studies","Springer","https://link.springer.com/content/pdf/10.1007/s10899-009-9115-2.pdf","https://scholar.google.com/scholar?cites=5531708029262194494&as_sdt=2005&sciodt=0,5&hl=en",146,"2021-09-29 11:06:12","PDF","10.1007/s10899-009-9115-2","","",,,,,32,2.67,16,2,12,"… The identification of crime hot spots allows law enforcement officials to direct resources to these locations and address the specific problems in an attempt to … Crime and disorder in crime hot spots: Implications for theory and practice in policing. Police Quarterly, 3(3), 331–349 …","https://link.springer.com/content/pdf/10.1007/s10899-009-9115-2.pdf","https://scholar.google.com/scholar?q=related:PmdZ9SSTxEwJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
789,"GL Kelling, MH Moore","The evolving strategy of policing",1989,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=rbNeL4GJSqMC&oi=fnd&pg=PA7&dq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&ots=q5wA-zGHAj&sig=ojB2GAflwlbCt2fExwydwMgqaJY","https://scholar.google.com/scholar?cites=9942807966177312495&as_sdt=2005&sciodt=0,5&hl=en",147,"2021-09-29 11:06:12","BOOK","","","",,,,,789,24.66,395,2,32,"… Political inﬂuence of any kind on a police department came to be seen as not merely a failure of police leadership but as corruption in policing … Police agencies became law enforcement agencies. Their goal was to control crime …","https://books.google.com/books?hl=en&lr=&id=rbNeL4GJSqMC&oi=fnd&pg=PA7&dq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&ots=q5wA-zGHAj&sig=ojB2GAflwlbCt2fExwydwMgqaJY","https://scholar.google.com/scholar?q=related:7z7sfSrz-4kJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
187,"MH Moore, RC Trojanowicz, GL Kelling","Crime and policing",1988,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=yYZ5_Uszv94C&oi=fnd&pg=PA6&dq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&ots=GyOzYcMUCj&sig=vO1S-1I8Omg9vJHtwZ8M6GcBDL4","https://scholar.google.com/scholar?cites=2209796105793966901&as_sdt=2005&sciodt=0,5&hl=en",148,"2021-09-29 11:06:12","BOOK","","","",,,,,187,5.67,62,3,33,"… informants, covert surveillance, and undercover investigations rather than responses to calls for service.' In the … where society's stake in preventing crimes seems particularly great, the police have created … It is not strictly accurate, then, to characterize modem policing as entirely …","https://books.google.com/books?hl=en&lr=&id=yYZ5_Uszv94C&oi=fnd&pg=PA6&dq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&ots=GyOzYcMUCj&sig=vO1S-1I8Omg9vJHtwZ8M6GcBDL4","https://scholar.google.com/scholar?q=related:NRPkp9nFqh4J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
36,"WP Bozeman, JP Stopyra, DA Klinger, ...","Injuries associated with police use of force",2018,"Journal of trauma and …","journals.lww.com","https://journals.lww.com/jtrauma/FullText/2018/03000/Injuries_associated_with_police_use_of_force.9.aspx","https://scholar.google.com/scholar?cites=15507145518935050477&as_sdt=2005&sciodt=0,5&hl=en",149,"2021-09-29 11:06:12","HTML","","","",,,,,36,12.00,9,4,3,"BACKGROUND Use of force [UOF] by police can result in serious injuries and fatalities. The risk of.","https://journals.lww.com/jtrauma/FullText/2018/03000/Injuries_associated_with_police_use_of_force.9.aspx","https://scholar.google.com/scholar?q=related:7QhqaLByNNcJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
30,"L Mazerolle, D Rogan, J Frank, ...","Managing citizen calls to the police: the impact of Baltimore's 3‐1‐1 call system",2002,"Criminology & public …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-9133.2002.tb00110.x","https://scholar.google.com/scholar?cites=15131179056692488436&as_sdt=2005&sciodt=0,5&hl=en",150,"2021-09-29 11:06:12","","10.1111/j.1745-9133.2002.tb00110.x","","",,,,,30,1.58,8,4,19,"… citizen demands for police service and underpinned demand management during the reform era of policing (see Kelling … By the late 1970s, however, police officials … In a pair of influential reports, which were funded by the Law Enforcement Assis- tance Administration,2 analysts …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-9133.2002.tb00110.x","https://scholar.google.com/scholar?q=related:9Gj8Ai-__NEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
135,"TE Bercal","Calls for police assistance: consumer demands for governmental service",1970,"American Behavioral Scientist","journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/000276427001300504","https://scholar.google.com/scholar?cites=8386457311149449492&as_sdt=2005&sciodt=0,5&hl=en",151,"2021-09-29 11:06:12","","10.1177/000276427001300504","","",,,,,135,2.65,135,1,51,"… of the police-first aid, rescuing cats, helping ladies and the like-are omitted from the study because, unlike the law enforcement functions, they are … The service orientation allows us to break with the traditional concepts of police action that equate calls for assistance with the …","https://search.proquest.com/openview/577ff9bc763d02962a5bcb764c9ac3df/1.pdf?pq-origsite=gscholar&cbl=40595","https://scholar.google.com/scholar?q=related:FGEKu32uYnQJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
39,"CG Roman, SE Reid","Assessing the relationship between alcohol outlets and domestic violence: Routine activities and the neighborhood environment",2012,"Violence and victims","connect.springerpub.com","https://connect.springerpub.com/content/sgrvv/27/5/811.abstract","https://scholar.google.com/scholar?cites=2416601620355870780&as_sdt=2005&sciodt=0,5&hl=en",152,"2021-09-29 11:06:12","","","","",,,,,39,4.33,20,2,9,"… These blocks groups share police jurisdiction with other law enforcement agencies and therefore do … Domestic violence data were obtained from the Metropolitan Police Department (MPD) and … There were 21,349 domestic violence calls for service that came into MPD over the 2 …","","https://scholar.google.com/scholar?q=related:PPDxuF5-iSEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
45,"MG Maxfield, DA Lewis, R Szoc","Producing official crimes: Verified crime reports as measures of police output",1980,"Social Science Quarterly","JSTOR","https://www.jstor.org/stable/42860716","https://scholar.google.com/scholar?cites=3122535713176271950&as_sdt=2005&sciodt=0,5&hl=en",153,"2021-09-29 11:06:12","","","","",,,,,45,1.10,15,3,41,"… recording an i and initiating a subsequent investigation and level of law enforcement service than … allocated among dis that assigns higher weights to verified crim If calls for service are less … be leg In other words, certain people may perceive and, accordingly, mobilize the police …","https://search.proquest.com/openview/1a0af73531f3878c002fbedc959d1fe9/1?pq-origsite=gscholar&cbl=1816420","https://scholar.google.com/scholar?q=related:TrxX7q95VSsJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
52,"J Rotton, EG Cohn","Temperature, routine activities, and domestic violence: A reanalysis",2001,"","connect.springerpub.com","https://connect.springerpub.com/content/sgrvv/16/2/203.abstract","https://scholar.google.com/scholar?cites=13164684231810093198&as_sdt=2005&sciodt=0,5&hl=en",154,"2021-09-29 11:06:12","","","","",,,,,52,2.60,26,2,20,"… mically, police departments receive more complaints about domestic vi ~ lence on warm than cool or cold &ys. Cohn did not discuss this apparent anomaly, because her aims were pjmarily acmarial as suggested by her article's title: 'She prediction of polia calls for service."" …","https://www.academia.edu/download/61346192/Temperature_routine_activities_and_domes20191126-17229-1gprasp.pdf","https://scholar.google.com/scholar?q=related:jhA6MY9asrYJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
505,"AA Braga","The effects of hot spots policing on crime",2001,"The ANNALS of the American Academy of …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/000271620157800107","https://scholar.google.com/scholar?cites=11187593466431802003&as_sdt=2005&sciodt=0,5&hl=en",155,"2021-09-29 11:06:12","","10.1177/000271620157800107","","",,,,,505,25.25,505,1,20,"… To be considered for this review, POP initiatives had to engage pri- marily traditional policing tactics such as law enforcement actions, informal … Eligible studies had to measure the effects of the police intervention on officially recorded levels of crime at the places …","https://journals.sagepub.com/doi/pdf/10.1177/000271620157800107","https://scholar.google.com/scholar?q=related:kwomuvtQQpsJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
7,"C Colvin","Evaluation of innovative technology: Implications for the community policing roles of law enforcement officers",2001,"San Francisco: Psychology Department, San Francisco …","ncjrs.gov","https://www.ncjrs.gov/app/abstractdb/AbstractDBDetails.aspx?id=205641","https://scholar.google.com/scholar?cites=15120918493050905453&as_sdt=2005&sciodt=0,5&hl=en",156,"2021-09-29 11:06:12","","","","",,,,,7,0.35,7,1,20,"… of Innovative Technology: Implications for the Community Policing Roles of Law Enforcement Officers … Further exploration of the community policing and technology acceptance constructs is warranted, particularly as moderators of the relationship between police activities and …","","https://scholar.google.com/scholar?q=related:bSPvX0FL2NEJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
37,"R Boivin, G Cordeau","Measuring the impact of police discretion on official crime statistics: A research note",2011,"Police Quarterly","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1098611111404179","https://scholar.google.com/scholar?cites=13298295782376517079&as_sdt=2005&sciodt=0,5&hl=en",157,"2021-09-29 11:06:12","","10.1177/1098611111404179","","",,,,,37,3.70,19,2,10,"… When answering calls for service, police officers have three general tasks. First, they must verify if the reported incident actually occurred: unfounded calls are relatively frequent in Montreal (5%-14%) … erified Calls for Service and Police-Initiated Calls, 2005-2009 …","https://journals.sagepub.com/doi/pdf/10.1177/1098611111404179","https://scholar.google.com/scholar?q=related:162ggo4JjbgJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
79,"D Ellis, A Choi, C Blaus","Injuries to police officers attending domestic disturbances: An empirical study",1993,"Canadian Journal of Criminology","utpjournals.press","https://www.utpjournals.press/doi/pdf/10.3138/cjcrim.35.2.149","https://scholar.google.com/scholar?cites=9396891308383158506&as_sdt=2005&sciodt=0,5&hl=en",158,"2021-09-29 11:06:12","","10.3138/cjcrim.35.2.149","","",,,,,79,2.82,26,3,28,"… tasks and activities selected for analysis.<8l The number of injuries and calls for service for various … attention is given to identifying risk factors that can account for police injuries in … As far as identifying risk factors in policing domestic disturbances is concerned, few studies have …","https://scholar.google.com/scholar?output=instlink&q=info:6kAirdt2aIIJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=7121013942370686422&oi=lle","https://scholar.google.com/scholar?q=related:6kAirdt2aIIJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
75,"JC Hinkle, SM Yang","A new look into broken windows: What shapes individuals' perceptions of social disorder?",2014,"Journal of criminal justice","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047235213001128","https://scholar.google.com/scholar?cites=15752732059503447682&as_sdt=2005&sciodt=0,5&hl=en",159,"2021-09-29 11:06:12","HTML","","","",,,,,75,10.71,38,2,7,"… data from a survey of residents, systematic social observations and police calls for service to explore the … and residents' perceptions of social disorder might provide an avenue for police to address … for our understanding of the broken windows thesis and policing strategies based …","https://www.sciencedirect.com/science/article/pii/S0047235213001128","https://scholar.google.com/scholar?q=related:gk6cuFjynNoJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
20,"AM Pate, S Annan","The Baltimore community policing experiment",1989,"Washington, DC: Police Foundation","ojp.gov","https://www.ojp.gov/ncjrs/virtual-library/abstracts/baltimore-community-policing-experiment-part-1-technical-report-and","https://scholar.google.com/scholar?cites=7896729713502920995&as_sdt=2005&sciodt=0,5&hl=en",160,"2021-09-29 11:06:12","","","","",,,,,20,0.63,10,2,32,"… of calls for service and recorded crime data to determine if trends or levels were affected by program implementation. The most significant result of the experiment was that ombudsman policing, when practiced full-time, produced great improvements in evaluations of police …","","https://scholar.google.com/scholar?q=related:IyGd9NXRlm0J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
158,"J Ruiz, C Miller","An exploratory study of Pennsylvania police officers' perceptions of dangerousness and their ability to manage persons with mental illness",2004,"Police quarterly","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1098611103258957","https://scholar.google.com/scholar?cites=701883853918311677&as_sdt=2005&sciodt=0,5&hl=en",161,"2021-09-29 11:06:12","","10.1177/1098611103258957","","",,,,,158,9.29,79,2,17,"… A lack of policy or guidelines in CFS for persons with mental illness may tend to cause the responding officer(s) to handle these calls from a law- enforcement perspective instead of a … Forces of deviance: Understanding the dark side of policing … 370 POLICE QUARTERLY (Vol …","https://journals.sagepub.com/doi/pdf/10.1177/1098611103258957","https://scholar.google.com/scholar?q=related:_RRieqWXvQkJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
123,"BT Brick, TJ Taylor, FA Esbensen","Juvenile attitudes towards the police: The importance of subcultural involvement and community ties",2009,"Journal of criminal justice","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047235209000920","https://scholar.google.com/scholar?cites=9236123672409362403&as_sdt=2005&sciodt=0,5&hl=en",162,"2021-09-29 11:06:12","HTML","","","",,,,,123,10.25,41,3,12,"… officers offer some sort of assistance to citizens) with the police were found to improve attitudes, while negative contacts (ie, those involving law enforcement duties where the … The effect of police calls for service on citizens' attitudes toward the police provides one such example …","https://www.sciencedirect.com/science/article/pii/S0047235209000920","https://scholar.google.com/scholar?q=related:40-Jg4tNLYAJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
0,"J Perez","Police Response To Mental Health-Related Calls for Service in the City of Watsonville: A Process Evaluation of the City of Watsonville's Plan to Assist Their Officers …",2018,"","scholarworks.sjsu.edu","https://scholarworks.sjsu.edu/etd_projects/592/","",163,"2021-09-29 11:06:12","","","","",,,,,0,0.00,0,1,3,"Police officers respond to a variety of calls for service 24 hours a day, seven days a week, including mental-health related emergencies. With deinstitutionalization of individuals with severe mental illness, officers are often the first to be called to contact these individuals …","https://scholarworks.sjsu.edu/cgi/viewcontent.cgi?article=1592&context=etd_projects",""
50,"A Laniyonu","Coffee shops and street stops: Policing practices in gentrifying neighborhoods",2018,"Urban Affairs Review","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1078087416689728","https://scholar.google.com/scholar?cites=933736943447297315&as_sdt=2005&sciodt=0,5&hl=en",164,"2021-09-29 11:06:12","","10.1177/1078087416689728","","",,,,,50,16.67,50,1,3,"… Copy to clipboard. Format, Tips on citation download. Download Citation. Download article citation data for: Coffee Shops and Street Stops: Policing Practices in Gentrifying Neighborhoods. Ayobami Laniyonu. Urban Affairs Review 2017 54:5, 898-930. Download Citation …","https://journals.sagepub.com/doi/pdf/10.1177/1078087416689728","https://scholar.google.com/scholar?q=related:I83Vi81M9QwJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
91,"SP Carter, SL Carter, ...","Zoning out crime and improving community health in Sarasota, Florida:“crime prevention through environmental design”",2003,"American Journal of …","ajph.aphapublications.org","https://ajph.aphapublications.org/doi/abs/10.2105/ajph.93.9.1442","https://scholar.google.com/scholar?cites=5590091807875984669&as_sdt=2005&sciodt=0,5&hl=en",165,"2021-09-29 11:06:12","","10.2105/ajph.93.9.1442","","",,,,,91,5.06,30,3,18,"… From 1990 through 1998, calls for service decreased in the North Trail Corridor … Sarasota Police Department Advanced Information Management Reports 30-02 and 30 … participants, professional consultants, architectural students, city planners, and law enforcement officers who …","https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.93.9.1442","https://scholar.google.com/scholar?q=related:He1EtuH-k00J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
32,"AA Braga, MA Andresen, B Lawton","The law of crime concentration at places: Editors' introduction",2017,"","Springer","https://link.springer.com/content/pdf/10.1007/s10940-017-9342-0.pdf","https://scholar.google.com/scholar?cites=15110658564497305627&as_sdt=2005&sciodt=0,5&hl=en",166,"2021-09-29 11:06:12","PDF","10.1007/s10940-017-9342-0","","",,,,,32,8.00,11,3,4,"… Using property crime data from a large metropolitan police force in the United Kingdom … be used to guide place-based crime prevention initiatives such as hot spots policing … focus of crime prevention interventions, O'Brien and Winship encourage law enforcement agencies to …","https://link.springer.com/content/pdf/10.1007/s10940-017-9342-0.pdf","https://scholar.google.com/scholar?q=related:G3ATm-fXs9EJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
9,"AN Muchow, C Amuedo-Dorantes","Immigration enforcement awareness and community engagement with police: evidence from domestic violence calls in Los Angeles",2020,"Journal of urban economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0094119020300243","https://scholar.google.com/scholar?cites=13323187343444076588&as_sdt=2005&sciodt=0,5&hl=en",167,"2021-09-29 11:06:12","HTML","","","",,,,,9,9.00,5,2,1,"… Police chiefs and sheriffs in jurisdictions with sizeable immigrant populations have expressed … their involvement may jeopardize decades of advances in community policing (Burnett, 2015 … Indeed, several state and local law enforcement agencies have limited their cooperation, a …","https://www.sciencedirect.com/science/article/pii/S0094119020300243","https://scholar.google.com/scholar?q=related:LOj2sUx45bgJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
68,"TG Coleman, DH Cotton","Reducing risk and improving outcomes of police interactions with people with mental illness",2010,"Journal of Police Crisis Negotiations","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15332581003756950","https://scholar.google.com/scholar?cites=11675554019947420003&as_sdt=2005&sciodt=0,5&hl=en",168,"2021-09-29 11:06:12","","10.1080/15332581003756950","","",,,,,68,6.18,34,2,11,"… In Toronto, Ontario, during 2000, for example, police officers responded to almost 5,200 calls for service involving a person in crisis or who appeared to be mentally ill (Brown & Maywood, 2001; Cotton & … Managing strategic knowledge in policing: Do police leaders have …","https://www.tandfonline.com/doi/pdf/10.1080/15332581003756950","https://scholar.google.com/scholar?q=related:Y5nZeoXmB6IJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
17,"JS Kiedrowski, M Petrunik, R Ruddell","Illustrative case studies of First Nations policing program models",2016,"","oaresource.library.carleton.ca","http://oaresource.library.carleton.ca/wcl/2016/20161221/PS18-35-2016-eng.pdf","https://scholar.google.com/scholar?cites=6583423861441084363&as_sdt=2005&sciodt=0,5&hl=en",169,"2021-09-29 11:06:12","BOOK","","","",,,,,17,3.40,6,3,5,"… Finally, the authors identified differences in how communities are policed, with police serving SA communities more inclined to follow a community policing based model and the RCMP more likely to follow a conventional law enforcement model …","http://oaresource.library.carleton.ca/wcl/2016/20161221/PS18-35-2016-eng.pdf","https://scholar.google.com/scholar?q=related:y7sGGx8FXVsJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
19,"CEW Bond, DJ Gow","Policing the beat: The experience in Toowoomba, Queensland",1996,"Crime prevention studies","live-cpop.ws.asu.edu","https://live-cpop.ws.asu.edu/sites/default/files/library/crimeprevention/volume_07/06_bond.pdf","https://scholar.google.com/scholar?cites=4435994724126346139&as_sdt=2005&sciodt=0,5&hl=en",170,"2021-09-29 11:06:12","PDF","","","",,,,,19,0.76,10,2,25,"… Sherman, LW (1989). ""Repeat Calls for Service: Policing the 'Hot Spots'."" In: DJ Kenney (ed.), Police and Policing: Contemporary Issues. New York, NY: Praeger. Trojanowicz, R. and B. Bucqueroux (1994J. Community Policing: How to Get Started. Cincinnati, OH: Anderson.","https://live-cpop.ws.asu.edu/sites/default/files/library/crimeprevention/volume_07/06_bond.pdf","https://scholar.google.com/scholar?q=related:m8sO3bLRjz0J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
