google_id,google_title,google_year,google_source,google_abstract,google_authors,google_title_simple
603,… without Protection: Nuisance Property Law Unduly Burden Innocent Tenants and Entrench Divisions between Impoverished Communities and Law Enforcement,2014,Hous. L. Rev.,"… Desmond & Nicol Valdez, Unpolicing the Urban Poor: Consequences of Third-Party Policing of Inner … don't have to follow through in every emergency situation, protection through law enforcement is a … that the city was not liable for negligently failing to send police in response to …",T Langley, without protection nuisance property law unduly burden innocent tenants and entrench divisions between impoverished communities and law enforcement
612,Evaluating the impact of officer worn body cameras in the Phoenix police department,2014,"Phoenix, AZ: Center for …","… of this, they have been widely adopted and accepted by law enforcement agencies and … of devices with video recording capability have renewed the discussion about cameras in policing … The Phoenix Police Department (PPD) is a large municipal police agency, with more than …","CM Katz, DE Choate, JR Ready, ...",evaluating the impact of officer worn body cameras in the phoenix police department
614,"… the use of technology in policing: Results and implications from a multi-site study of the social, organizational, and behavioural aspects of implementing police …",2014,Policing: A Journal of Policy and …,"… Introduction. Technological advancements have shaped policing in many important ways over the years … Technology acquisition and deployment decisions are high priority topics for police (eg Koper et al., 2009), as law enforcement agencies at all levels of governments …","CS Koper, C Lum, JJ Willis", the use of technology in policing results and implications from a multisite study of the social organizational and behavioural aspects of implementing police 
705,An empirical evaluation: gunshot detection system and its effectiveness on police practices,2014,Police Practice and Research,"… crime prevention.' Since its inception, situational crime prevention has suggested policing initiatives in … as a separate entity rather than an enhancement for agents of law enforcement … An empirical evaluation: gunshot detection system and its effectiveness on police practices …","KS Choi, M Librett, TJ Collins",an empirical evaluation gunshot detection system and its effectiveness on police practices
747,Tracking of police patrol,2014,Policing: A Journal of Policy and Practice,"… However, it also branded the British police officer as a reactive 'crime fighter', responding to calls for service in a way that was quickly labelled 'fire brigade policing' (Gordon, 1984), as popularized by the television series 'Z' Cars (Reiner, 2010, p. 79) …","N Wain, B Ariel",tracking of police patrol
759,The science of crime measurement: Issues for spatially-referenced crime data,2014,NA,"… Nearly all of the law enforcement agencies in the United States provide data to the Federal … police detachments respond to the UCR survey, a total of 204 police forces (Statistics … data—though this may better be considered “unofficial” official crime data—is calls for service to the …",MA Andresen,the science of crime measurement issues for spatiallyreferenced crime data
768,Police service delivery and responsiveness in a period of economic instability,2014,Police Practice and …,"… less of a concern, but when many departments were receiving federal monies (ie 1994 Violent Crime Control and Law Enforcement Act) to … Moreover, while Flint police leaders were aware of contemporary strategies (ie zero tolerance, Compstat, and hot spot policing), the lack …","W Terrill, MT Rossler, EA Paoline III",police service delivery and responsiveness in a period of economic instability
842,"Systematic social observation of police decision-making: The process, logistics, and challenges in a Canadian context",2014,Quality & Quantity,… SSO data provides knowledge on the day-to-day policing practices that tran- scends official statistics … The regional police service has three urban and two rural divisions … instruments are not directly transferrable from a US context to a Canadian law enforcement environment …,JL Schulenberg,systematic social observation of police decisionmaking the process logistics and challenges in a canadian context
846,The impact of police training in mental health: an example from Australia,2014,Policing and society,"… 20, and to allow police to balance their role with competing law enforcement obligations (NSW … a considerable drain on police resources – potentially removing a unit from frontline policing for an … attendance, and reducing the amount of dead time 6 spent by police at mental …","V Herrington, R Pope",the impact of police training in mental health an example from australia
890,A qualitative analysis of community policing in the United States,2014,American International Journal of Contemporary …,"… Evaluations of Community Policing Generally, community policing in the United States has been recognized as a successful policing strategy by political leaders and policy makers, police researchers, and the law enforcement community …",EN Amadi,a qualitative analysis of community policing in the united states
901,A qualitative analysis of community policing in the United States,2014,American International Journal of Contemporary …,"… Evaluations of Community Policing Generally, community policing in the United States has been recognized as a successful policing strategy by political leaders and policy makers, police researchers, and the law enforcement community …",EN Amadi,a qualitative analysis of community policing in the united states
937,Policing: Continuity and change,2014,NA,"… of social control, we can now offer a broader definition of policing: Policing can be … more officers rather than the other way around (President's Commission on Law Enforcement and the … nearly 128,000 incidents handled by the patrol division of the Chicago police revealed only …","GP Alpert, RG Dunham, MS Stroshine",policing continuity and change
969,Left alone when the cops go home: evaluating a post-mental health crisis assistance program,2014,Policing: An International …,"… go home: evaluating a post-mental health crisis assistance program"", Policing: An International … In other words, when the police depart, consumers are frequently left to seek out … We discuss how law enforcement agencies can partner with mental health groups and organizations …","L Bonkiewicz, AM Green, K Moyer, ...",left alone when the cops go home evaluating a postmental health crisis assistance program
120,Police social work,2013,Encyclopedia of social work,"… Trojanowicz and Bucqueroux (1990) described community policing as initiatives that involve the … In general, police social workers assist law enforcement organizations and police officers with … services to individuals and families who are the recipients of police calls for service …",GT Patterson,police social work
142,Challenges Associated with Interpreting and Using Police Clearance Rates,2013,NA,"… Calls for Service and File Scoring Processes Calls for service are typically received by dispatch (although some calls may be taken … are governed by independent municipal police forces, and one additional municipality is policed by First Nations policing (Police Services, 2011a …","AV McCormick, T Haarhoff, IM Cohen, D Plecas, K Burk",challenges associated with interpreting and using police clearance rates
198,"Policing convenience store crime: Lessons from the Glendale, Arizona smart policing initiative",2013,Police Quarterly,"… Tips on citation download. Download Citation. Download article citation data for: Policing Convenience Store Crime: Lessons from the Glendale, Arizona Smart Policing Initiative. Michael D. White and Charles M. Katz. Police Quarterly 2013 16:3, 305-322. Download Citation …","MD White, CM Katz",policing convenience store crime lessons from the glendale arizona smart policing initiative
243,Staffing the small department: Taking stock of existing benchmarks and promising approaches,2013,The Police Chief,"… Agencies, 5th ed. (Fairfax, Va.: Commission on Accreditation for Law Enforcement Agencies, 2006) … M. Wilson and Alexander Weiss, A Performance-Based Approach to Police Staffing and … DC: US Department of Justice, Office of Community Oriented Policing Services, 2012 …","JM Wilson, A Weiss",staffing the small department taking stock of existing benchmarks and promising approaches
279,The problem is not just sample size: The consequences of low base rates in policing experiments in smaller cities,2013,Evaluation …,"Background:Hot spots policing is one of the most influential police innovations, with a strong body of experimental research showing it to be effective in reducing crime and disorder. However, most...","JC Hinkle, D Weisburd, C Famega, ...",the problem is not just sample size the consequences of low base rates in policing experiments in smaller cities
285,Peer Reviewed: Using Public Health and Community Partnerships to Reduce Density of Alcohol Outlets,2013,Preventing chronic …,"… locations, alcohol-impaired driving by adults and youth, locations where alcohol-related crimes occur, and police calls for service and the … usually includes parents, staff of nonprofit organizations, city and county officials, health department staff, law enforcement officials, and …","DH Jernigan, M Sparks, E Yang, ...",peer reviewed using public health and community partnerships to reduce density of alcohol outlets
300,Consolidation of law enforcement dispatch operations in Harris County Texas,2013,NA,"… manned and maintained by the individual agency. Public demand for seamless … For example, Page 16. 13 police Chief Todd Walker of Macon County Georgia stated that their dispatch center has … citizens and officers who respond to law enforcement calls for service. Some of the …",TW Cannon,consolidation of law enforcement dispatch operations in harris county texas
331,Developing a state-wide approach to specialized policing response (SPR) programme implementation,2013,Policing and the mentally ill …,… Crisis intervention team training for police officers responding to mental disturbance calls … Emerging partnerships between mental health and law enforcement … 4 Policing and the Mentally Ill: International Perspectives these encounters can reduce victimisations and repeat calls …,"M Reuland, L Draper, B Norton",developing a statewide approach to specialized policing response spr programme implementation
356,Crime seasonality and its variations across space,2013,Applied Geography,… All crime data used below come from the Vancouver Police Department's Calls for Service Database (VPD-CFS Database) generated by its Computer Aided Dispatch system. The VPD-CFS Database is the set of requests for …,"MA Andresen, N Malleson",crime seasonality and its variations across space
358,Crime mapping and hot spot analysis,2013,Environmental criminology and …,"… crime and place for decades, this literature did not significantly influence law enforcement practices until … and providing access to case-specific information extracted from individual police reports of … data in that city – resulted in an important paradigm shift in policing (Sherman et …","L Anselin, E Griffiths, G Tita",crime mapping and hot spot analysis
404,Unpolicing the urban poor: Consequences of third-party policing for inner-city women,2013,American sociological review,"Recent decades have witnessed a double movement within the field of crime control characterized by the prison boom and intensive policing, on the one hand, and widespread implementation of new appr...","M Desmond, N Valdez",unpolicing the urban poor consequences of thirdparty policing for innercity women
494,A stab in the dark? A research note on temporal patterns of street robbery,2013,Journal of Research in Crime and …,Objectives:Test the influence of darkness in the street robbery crime event alongside temperature.Methods:Negative binomial regression models tested darkness and temperature as predictors of street...,"L Tompson, K Bowers",a stab in the dark a research note on temporal patterns of street robbery
508,"Policing the homeless: Policy, practice, and perceptions",2013,Policing: An International …,… new homeless problem” to highlight changes in the relationship between homelessness and law enforcement … many departments across the country are said to have embraced problem‐oriented policing … While many police departments note that the calls for service relating …,"RH McNamara, C Crawford, R Burns",policing the homeless policy practice and perceptions
526,Policing community problems: Exploring the role of formal social control in shaping collective efficacy,2013,Australian & New Zealand …,"… Download article citation data for: Policing community problems: Exploring the role of formal social control in shaping collective efficacy. Elise Sargeant, Rebecca Wickes, and Lorraine Mazerolle. Australian & New Zealand Journal of Criminology 2013 46:1, 70-87 …","E Sargeant, R Wickes, ...",policing community problems exploring the role of formal social control in shaping collective efficacy
530,"Who governs? Democracy, plutocracy, science and prophecy in policing",2013,Criminology & criminal justice,"… Democracy, plutocracy, science and prophecy in policing. Robert Reiner. Criminology & Criminal Justice 2013 13:2, 161-180. Download Citation … Democracy, plutocracy, science and prophecy in policing. Robert Reiner. Criminology & Criminal Justice 2013 13:2, 161-180. Share …",R Reiner,who governs democracy plutocracy science and prophecy in policing
565,The institutionalization of racial profiling policy: An examination of antiprofiling policy adoption among large law enforcement agencies,2013,Crime & delinquency,The issue of racial profiling has come to represent one of the key contemporary challenges facing law enforcement agencies in the United States. One way that agencies have responded to this issue i...,K Miller,the institutionalization of racial profiling policy an examination of antiprofiling policy adoption among large law enforcement agencies
591,Does the presence of sexually oriented businesses relate to increased levels of crime? An examination using spatial analyses,2013,Crime & Delinquency,Scholarly debate about whether the presence of sexually oriented businesses in a community is related to increased levels of crime has been present for several decades. This argument about the “sec...,"ES McCord, R Tewksbury",does the presence of sexually oriented businesses relate to increased levels of crime an examination using spatial analyses
593,Using volunteers in policing: A force field analysis of American supervisors,2013,The Police Journal,"… Correlation is signifi cant at the 0.05 level (2-tailed). Var 1 – Years in law enforcement Var 7 – County … The restraining forces do not appear to have much power, indicating that the use of volunteers in policing is acceptable to this cohort of police supervisors …",SW Phillips,using volunteers in policing a force field analysis of american supervisors
640,Community policing: Partnerships for problem solving,2013,NA,… xiv CONTENTS Law Enforcement: Disrupting the Market 319 Drug Raids 319 Surveillance 319 UndercoverAssignments 321 Arresting … Dream 337 A Problem-Solving Partnership in Action—Rocky Pomerance Excellence in Policing Award: Ocala Police Department (Ocala …,"LS Miller, KM Hess, CMH Orthmann",community policing partnerships for problem solving
673,"Are suppression and deterrence mechanisms enough? Examining the “pulling levers” drug market intervention strategy in Peoria, Illinois, USA",2013,International Journal of Drug Policy,"… Mazerolle, Soole, and Rombouts (2006) compared findings of different drug law enforcement strategies that … replications and systematic evaluations of pulling levers drug market policing strategies are … examined calls for service (ie, citizen call requests for police assistance) and …","N Corsaro, RK Brunson",are suppression and deterrence mechanisms enough examining the pulling levers drug market intervention strategy in peoria illinois usa
676,Police patrol districting method and simulation evaluation using agent-based model & GIS,2013,Security informatics,… 2013. Police patrol districting method and simulation evaluation using agent-based model & GIS … 72k Accesses. 16 Citations. 3 Altmetric. Metrics details. Abstract. Abstract. Police patrols play an important role in public safety. The …,"Y Zhang, DE Brown",police patrol districting method and simulation evaluation using agentbased model  gis
685,Police operations: Theory and practice,2013,NA,… I 0 Standards Set Forth by the Commission on Accreditation of Law Enforcement Agencies (CALEA … the Job Done: Basic Police Operations 4 PATROL: THE BACKBONE OF POLICE OPERATIONS 125 Introduction 1 26 The Importance and “Place” of Patrol in Policing 1 26 …,"KM Hess, CH Orthmann, HL Cho",police operations theory and practice
698,Shifting and sharing police responsibility to address public safety problems,2013,Handbook of crime prevention and community safety,"… In-depth inquiry of the type called for in problem-oriented policing often identifies a … Initially drawn to police attention as a crime or law enforcement problem, penetrating inquiry often redefines … The police demonstrated through analysis that there was a critical need to give high …",MS Scott,shifting and sharing police responsibility to address public safety problems
713,First-line supervision and strategic decision making under compstat and community policing,2013,Criminal Justice Policy Review,"… Format, Tips on citation download. Download Citation. Download article citation data for: First-Line Supervision and Strategic Decision Making Under Compstat and Community Policing. James J. Willis. Criminal Justice Policy Review 2011 24:2, 235-256. Download Citation …",JJ Willis,firstline supervision and strategic decision making under compstat and community policing
813,Directed patrol for preventing city centre street violence in Sweden—a hot spot policing intervention,2013,European journal on …,"… for service to the police as a result of problem-oriented interventions in hot spots, and no noteworthy differences in crime calls were detected in an Australian hot spot intervention using POP interventions (Criminal Justice Commission 1998). Hence, hot spot policing approaches …","L Frogner, H Andershed, O Lindberg, ...",directed patrol for preventing city centre street violence in swedena hot spot policing intervention
830,Development of the interRAI brief mental health screener to enhance the ability of police officers to identify persons with serious mental disorder,2013,NA,"… to calls for service involving PSMD, and a mean time of just over three hours waiting in the ED … 192 Appendix F: Crime Severity Index values for 239 police services policing communities over 10,000 population, 2011 …",RE Hoffman,development of the interrai brief mental health screener to enhance the ability of police officers to identify persons with serious mental disorder
854,Problem-oriented policing and environmental criminology,2013,… criminology and crime …,"… Accordingly, it is not an alternative to law enforcement, preventive patrol, criminal investigation, foot patrol, saturation patrol, undercover sting operations, or any of the many other tactics and strategies police … Problem-oriented policing challenges police to leverage …","M Scott, J Eck, J Knutsson, ...",problemoriented policing and environmental criminology
933,Community and campus crime: A geospatial examination of the Clery Act,2013,Crime & …,"Despite the provisions of the Clery Act, which requires institutional reporting of crime on college campuses, patterns of campus crime have received surprisingly little research attention to date. ...","MR Nobles, KA Fox, DN Khey, ...",community and campus crime a geospatial examination of the clery act
961,Defining crime: an analysis of organizational influences on police processing of information,2013,NA,"… PROCESS OF POLICING 291 … Table 7-10. Process-Based Analysis of Calls for Service Originating Within the Police Department, January 2010 228 … Table 7-12. Process-Based Analysis of Calls for Service Originating from Other Law Enforcement Agencies, January 2010 230 …",ME Hollis,defining crime an analysis of organizational influences on police processing of information
964,Sporting events and the spatial patterning of crime in South Africa: Local interpretations and international implications,2013,Canadian Journal of Criminology and …,"… We conclude by outlining some international implications of our results for law enforcement agencies tasked with policing cities during … While capable guardians in the form of police and stadium security often have a strong presence in and around stadiums, they are …","G Breetzke, EG Cohn",sporting events and the spatial patterning of crime in south africa local interpretations and international implications
965,Problem-oriented policing and partnerships,2013,NA,… way to develop responses to a whole range of problems and in many cases this need not be law enforcement … reform' agenda being followed under the Blair government has emphasised: improving the performance of the police service; making policing more flexible …,"K Bullock, R Erol, N Tilley",problemoriented policing and partnerships
102,Hot spots policing effects on crime,2012,Campbell Systematic …,… size favoring the effects of hot spots policing in reducing citizen calls for service in treatment … The extant evaluation research provides fairly robust evidence that hot spots policing is an … The research also suggests that focusing police efforts on high-activity crime places does not …,"A Braga, A Papachristos, ...",hot spots policing effects on crime
104,Essentials for Leaders: A Performance-Based Approach to Police Staffing and Allocation,2012,Annotation,… One component reviewed current procedures used by law enforcement agencies in determining their personnel needs and … could influence workforce planning; and the fourth component examined the relationship between police staffing and community policing …,"JM Wilson, A Weiss",essentials for leaders a performancebased approach to police staffing and allocation
203,A preliminary examination of Marcellus shale drilling activity and crime trends in Pennsylvania,2012,"University Park, PA: Justice Center for …","… department and, therefore, rely on full-time PSP troopers to provide law enforcement services during … conduct qualititative interviews with local police and municipal officials to further explore changes in policing burdens associated with Marcellus Shale activity that may not be …","L Kowalski, G Zajac",a preliminary examination of marcellus shale drilling activity and crime trends in pennsylvania
229,The (in) appropriateness of aggregating across crime types,2012,Applied Geography,… All crime data used below come from the Vancouver Police Department's Calls for Service Database (VPD-CFS Database) generated by its Computer Aided Dispatch system. The VPD-CFS Database is the set of requests for …,"MA Andresen, SJ Linning",the in appropriateness of aggregating across crime types
287,Longitudinal study of crime hot spots: dynamics and impact on part 1 violent crime,2012,… of the 32nd international symposium on …,… from 6 to 13 percent reduction in total number of calls for service. Braga (2005) is a meta study of five randomized experiments estimating overall effect size of police enforcement in experimental areas: Jersey City problem-oriented policing strategy …,"WL Gorr, YJ Lee",longitudinal study of crime hot spots dynamics and impact on part 1 violent crime
329,"Race, policing, and equity",2012,Criminology & Pub. Pol'y,"… Perhaps it is a good time to add the criterion of equity to the commonly used criterion of efficiency in public dialogue regarding how we should deploy our police. References Alexander, Michelle. 2010 … 2012. Race, drugs and law enforcement: Toward equitable policing …",SD Mastrofski,race policing and equity
435,Police decision making: an examination of conflicting theories,2012,Policing: An International Journal of Police …,"… of area, such as organizational size, the agencies management style, or the type of law enforcement agency (ie local … may not be the most organizationally efficient way to implement and sustain police efforts to combat crime or implement various community policing initiatives …","SW Phillips, JJ Sobol",police decision making an examination of conflicting theories
489,The Weed and Seed Initiative and Police Activity Within Communities,2012,… Community Policing,… the research on local Weed and Seed site effectiveness has been pub- lished by law enforcement-commissioned agencies … 206 Global Community Policing: Problems and Challanges … consideration of this research effort is that Weed and Seed zoning may affect police activity in …,"SE COSTANZA, R HELMS, ...",the weed and seed initiative and police activity within communities
524,"Los Angeles, California smart policing initiative: Reducing gun-related violence through operation LASER",2012,Bureau of Justice …,"… Date Published. October 2012. Annotation. This issue of Smart Policing Initiative (SPI) Site Spotlight … The scanning phase examined gun-related crimes by police division, using a geographic analysis of data on gun-related crimes, arrests, and calls for service over a 6 …","CD Uchida, M Swatt, D Gamero, J Lopez, ...",los angeles california smart policing initiative reducing gunrelated violence through operation laser
529,Police–advocacy partnerships in response to domestic violence,2012,Journal of Police Crisis Negotiations,"… They increase women's willingness to reach out to law enforcement when new incidents of violence occur … This also supports the work of police departments implementing community policing programs (Connell, Miggans, & McGloin, 2008; Goldstein, 1987, 1990) …",C Smith Stover,policeadvocacy partnerships in response to domestic violence
578,The police response to mental illness on campus,2012,Journal of college student psychotherapy,"… to calls like these demands a professional and solution-oriented approach from campus security, judicial affairs, mental health practitioners, residential housing, and law enforcement. Moreover, community-policing principles demand that police work collaboratively …","GJ Margolis, PR Shtull",the police response to mental illness on campus
587,Bars on blocks: A cellular automata model of crime and liquor licensed establishment density,2012,"… , environment and urban …","… Saturday: 23:00–23:59. • Sunday: 00:00–04:00. The data set was queried for the following crime types as a proxy for bar-related police calls for service: Fights, assaults and weapons offences. These more serious offences can be reasonably attributed to bar violence …","V Spicer, AA Reid, J Ginther, H Seifi, ...",bars on blocks a cellular automata model of crime and liquor licensed establishment density
618,Impact of community policing on public satisfaction and perception of police: findings from India,2012,International criminal justice review,"… Format, Tips on citation download. Download Citation. Download article citation data for: Impact of Community Policing on Public Satisfaction and Perception of Police. TK Vinod Kumar. International Criminal Justice Review 2012 22:4, 397-415. Download Citation …",TKV Kumar,impact of community policing on public satisfaction and perception of police findings from india
727,Confronting the complexities of domestic violence: A social prescription for rethinking police training,2012,Journal of police crisis …,"… annual FBI statistics that contained information on law enforcement fatalities (Law Enforcement Officers Killed … Johnson, 2008) suggests that much of the danger associated with policing domestic violence … do not take into account the relative amount of time police officers spend …","HM Eigenberg, VE Kappeler, ...",confronting the complexities of domestic violence a social prescription for rethinking police training
736,Policing: A text/reader,2012,NA,"… Section 3 discusses the types and levels of law enforcement in the United States. The changing face of policing and police culture are featured in Section 4. The hiring, training, Y ou hold in your hands a book that we think is a different approach …",CA Archbold,policing a textreader
765,Articulating the dynamic police staffing challenge: An examination of supply and demand,2012,Policing: An International Journal of Police Strategies & …,"… Increases in law‐enforcement turnover have also resulted from lower police salaries, competition with military recruiters, a negative public perception of law enforcement, and lack of interest in policing by younger Americans entering the work force (Egan, 2005 …",JM Wilson,articulating the dynamic police staffing challenge an examination of supply and demand
790,Determinants of citizens' perceptions of Police–Community cooperation in India: Implications for community policing,2012,Asian Journal of Criminology,… cooperation between the public and the police is critical for the success of these programs (Rosenbaum 1988; Cao and Zhao 2005). An important element of all community policing programs is to bring about closer working relationships between law enforcement officers and …,"MK Nalla, M Madan",determinants of citizens perceptions of policecommunity cooperation in india implications for community policing
840,Collaborative partnerships and crime in disorganized communities,2012,Public Administration Review,"… safety, collaborative partnership as a basic component of community policing strategy has … not a sufficient condition for effective performance because resources help police departments prevent … crime rates can be grouped into two broad explanations: citizen demand and citizen …","CG Choi, SO Choi",collaborative partnerships and crime in disorganized communities
844,Seasonal assault and neighborhood deprivation in South Africa: Some preliminary findings,2012,Environment and Behavior,Little is known about spatial and temporal variations of violent crime in South Africa. This article addresses this gap by investigating the seasonality of assault at a neighborhood level in the ci...,"GD Breetzke, EG Cohn",seasonal assault and neighborhood deprivation in south africa some preliminary findings
864,Increasing Citizen Demand for Good Government in Kenya,2012,"… doctoral thesis). Stanford University, Palo Alto, CA","… demand. Besley (2006, 36) proposes a principal-agent model whereby elections act as an ac … services. I refer to these actions as citizen demand for good government. The first intervention … for his 'shoot to kill' order to police, in confrontations with illicit Mungiki gangs.22 Michuki …",K Zhang,increasing citizen demand for good government in kenya
887,"Race, drugs, and law enforcement: Toward equitable policing",2012,Criminology & Pub. Pol'y,"… in predominantly White and gentrifying downtown neighborhoods.4 Moreover, how the police respond to … viable policy alternatives to aggressive and racially disparate drug law enforcement exist … not follow that more humane, effective, and racially just policing strategies could …",K Beckett,race drugs and law enforcement toward equitable policing
897,"Race, drugs, and law enforcement: Toward equitable policing",2012,Criminology & Pub. Pol'y,"… in predominantly White and gentrifying downtown neighborhoods.4 Moreover, how the police respond to … viable policy alternatives to aggressive and racially disparate drug law enforcement exist … not follow that more humane, effective, and racially just policing strategies could …",K Beckett,race drugs and law enforcement toward equitable policing
936,The alcohol‐related workload of patrol officers,2012,Policing: An International Journal of Police Strategies & …,"… its focus on the need-to-do-something/here-and-now nature of policing, is its … These findings are consistent with previous research showing that police patrol is heavily influenced by the … just over 40 percent took place within the context of a criminal law enforcement action (see …",BA Myrstol,the alcoholrelated workload of patrol officers
966,The role of neighborhood parks as crime generators,2012,Security journal,"… crime or police calls-for-service data. Two exceptions are Swedish studies that examined drug arrests for narcotics use and sales in parks (Kühlhorn, 1978; Knutsson, 1997). In the same vein, a number of mostly qualitative observations of problem-oriented policing strategies …","E Groff, ES McCord",the role of neighborhood parks as crime generators
137,A randomized controlled trial of different policing strategies at hot spots of violent crime,2011,Journal of experimental criminology,"… of policing, first articulated by Herman Goldstein (1979; 1990), calls for police to transcend reactive, incident-driven policing by studying and … Further, Goldstein argued that police responses to these problems should not be limited to traditional law enforcement actions but …","B Taylor, CS Koper, DJ Woods",a randomized controlled trial of different policing strategies at hot spots of violent crime
175,"The possible “backfire” effects of hot spots policing: An experimental assessment of impacts on legitimacy, fear and collective efficacy",2011,Journal of experimental …,"… Levine 1975), rapid response to calls for service (Spelman and Brown 1984) and police investigations (Greenwood and Petersilia 1975) had little or no impact on preventing or solving crimes. Later studies of hot spots policing tested not only increasing police presence through …","D Weisburd, JC Hinkle, C Famega, J Ready",the possible backfire effects of hot spots policing an experimental assessment of impacts on legitimacy fear and collective efficacy
217,Local police departments (2007),2011,NA,"… Use of animals by local police departments for law enforcement purposes, by size of population served, 2007- - - - - 20 … An estimated 47,000 full-time local police officers were designated as community policing officers in …",BA Reaves,local police departments 2007
230,Impact of increased police presence in a non-criminogenic area,2011,Police Practice and Research,"… could act as 'maintenance mechanism' where residents could reconnect with the law enforcement community and … settings to attempt to further understand the effects of increased police presence … His research interests lie in the arena of policing, situational crime prevention, and …","EP Barthe, BG Stitt",impact of increased police presence in a noncriminogenic area
236,Responding to persons with mental illness,2011,FBI L. Enforcement …,… Law enforcement training is most effective when it includes consultation with mental health professionals … care sys- tem itself appears to be another barrier to policing progress involving … service agencies often refuse to admit intoxicated or psychotic persons referred by police …,"AS Tucker, VB Van Hasselt, GM Vecchi, ...",responding to persons with mental illness
242,Mapping police stress,2011,Police Quarterly,"… Mapping Police Stress. Matthew J. Hickman, Jennifer Fricas, Kevin J. Strom, and Mark W. Pope. Police Quarterly 2011 14:3, 227-250 … Mapping Police Stress. Matthew J. Hickman, Jennifer Fricas, Kevin J. Strom, and Mark W. Pope. Police Quarterly 2011 14:3, 227-250. Share. Share …","MJ Hickman, J Fricas, KJ Strom, MW Pope",mapping police stress
245,Community-based indicators of police performance: Introducing the platform's public satisfaction survey,2011,National Institute of …,"… The Platform's Public Satisfaction Survey provides new evidence-based measures of police-civilian encounters, generates timely feedback for management and addresses the growing public demand for a voice in police services …","DP Rosenbaum, AM Schuck, D Lawrence, ...",communitybased indicators of police performance introducing the platforms public satisfaction survey
268,The Philadelphia foot patrol experiment: A randomized controlled trial of police patrol effectiveness in violent crime hotspots,2011,Criminology,"… hotspots in Jersey City, NJ, and found “consistent, strong effects of the experimental strategy on disorder‐related emergency calls for service.” Taking the … A second potential mechanism is “proactive policing” (Kubrin et al., 2010), whereby the activity of a police officer, such as …","JH Ratcliffe, T Taniguchi, ER Groff, JD Wood",the philadelphia foot patrol experiment a randomized controlled trial of police patrol effectiveness in violent crime hotspots
311,Community-level impacts of temperature on urban street robbery,2011,Journal of Criminal Justice,"… be related to a tract-level relationship, for some crime categories, between commercial presence and translating calls for service into reported … Philadelphia foot patrolling police officers conversing with the first author suspected vacant houses were more likely to be occupied …","ET Sorg, RB Taylor",communitylevel impacts of temperature on urban street robbery
374,The ambient population and crime analysis,2011,The Professional Geographer,… The violent crime data used here come from the Vancouver Police Department's Calls for Service Database (VPD-CFS database) generated by its computer-aided dispatch system. The VPD-CFS database is the set of requests …,MA Andresen,the ambient population and crime analysis
395,Evaluating the impact of a Jail Diversion Program on police officer's attitudes toward the mentally ill,2011,NA,"… Police departments across the United States estimate that between 7 and 10% of calls for service involve an individual with a mental illness … (1998) surveyed 452 police officers from three of the responding law enforcement agencies; Birmingham, Alabama …",SE Abbott,evaluating the impact of a jail diversion program on police officers attitudes toward the mentally ill
461,"Assessing temporal and weather influences on property crime in Beijing, China",2011,"Crime, Law and Social …","… 8. Cohn, EG (1993). The prediction of police calls for service: the influence of weather and temporal variables on rape and domestic violence … The effect of weather and temporal variations on calls for police service. American Journal of Police, 15(1), 23–44. 10 …","C Peng, S Xueming, Y Hongyong, ...",assessing temporal and weather influences on property crime in beijing china
501,Testing the stability of crime patterns: Implications for theory and policy,2011,Journal of Research in Crime …,… One of the most significant findings from this study is that 50 percent of calls for police service are generated from 3 percent of street segments … The data used in the analysis are from the Vancouver Police Department (VPD) Calls for Service (CFS) Database …,"MA Andresen, N Malleson",testing the stability of crime patterns implications for theory and policy
514,Estimating the probability of local crime clusters: The impact of immediate spatial neighbors,2011,Journal of Criminal Justice,"… Source. Vancouver Police Department and Statistics Canada, calculations by the author. The source of these data is the Vancouver Police Department (VPD) Calls for Service (CFS) Database … (1989) for a discussion of the limitations of police calls for service …",MA Andresen,estimating the probability of local crime clusters the impact of immediate spatial neighbors
532,Constructing hot spots policing: Unexamined consequences for disadvantaged populations and for police legitimacy,2011,Criminal justice policy review,"… Furthermore, research sponsored by organizations such as the Law Enforcement Assistance Admin- istration (LEAA), Police Executive Research Forum (PERF), and the Police Founda- tion demonstrated … 4. Police are implementing traditional policing within hot …",T Rinehart Kochel,constructing hot spots policing unexamined consequences for disadvantaged populations and for police legitimacy
610,Proactive policing effects on repeat and near-repeat shootings in Houston,2011,Police Quarterly,"… Copy to clipboard. Format, Tips on citation download. Download Citation. Download article citation data for: Proactive Policing Effects on Repeat and Near-Repeat Shootings in Houston. William Wells and Ling Wu. Police Quarterly 2011 14:3, 298-319. Download Citation …","W Wells, L Wu",proactive policing effects on repeat and nearrepeat shootings in houston
661,Understanding community policing and legitimacy-seeking behavior in virtual reality: A national study of municipal police websites,2011,Police …,"… 78.8 Other law enforcement 46.6 Legal 48.1 … In order to assess our hypotheses we developed four police website indexes. The first index, which we labeled community policing content, captures the amount of general community policing information displayed on the website …","DP Rosenbaum, LM Graziano, CD Stephens, ...",understanding community policing and legitimacyseeking behavior in virtual reality a national study of municipal police websites
707,"Violence, drug markets and racial composition: challenging stereotypes through spatial analysis",2011,Urban studies,Places in which there is a strong spatial connection between violence and drug activity can often evoke particular stereotypes. They are believed to be places marked by high levels of social disorg...,C Lum,violence drug markets and racial composition challenging stereotypes through spatial analysis
